url1,url2,similarity
https://nordlayer.com/learn/network-security/basics/,https://www.fortinet.com/resources/cyberglossary/what-is-network-security,0.919
https://nordlayer.com/learn/network-security/basics/,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.897
https://nordlayer.com/learn/network-security/basics/,https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,0.881
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.925
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,0.906
https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,0.848
https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,https://digitdefence.com/blog/fundamentals-of-network-security-in-computer-networks,0.815
https://guardiandigital.com/resources/blog/guide-on-phishing,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.872
https://www.phriendlyphishing.com/blog,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.809
https://en.wikipedia.org/wiki/SD-WAN,https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,0.946
https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,0.853
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://copyblogger.com/content-marketing/,0.943
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.94
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.coursera.org/articles/content-strategy,0.933
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://mailchimp.com/marketing-glossary/content-marketing/,0.944
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://en.wikipedia.org/wiki/Content_marketing,0.845
https://copyblogger.com/content-marketing/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.913
https://copyblogger.com/content-marketing/,https://www.coursera.org/articles/content-strategy,0.853
https://copyblogger.com/content-marketing/,https://mailchimp.com/marketing-glossary/content-marketing/,0.97
https://copyblogger.com/content-marketing/,https://en.wikipedia.org/wiki/Content_marketing,0.901
https://copyblogger.com/content-marketing/,https://simple.wikipedia.org/wiki/Content_marketing,0.8
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://www.coursera.org/articles/content-strategy,0.893
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://mailchimp.com/marketing-glossary/content-marketing/,0.901
https://www.akkio.com/beginners-guide-to-machine-learning,https://medium.com/@amitvsolutions/machine-learning-101-the-complete-beginners-guide-to-machine-learning-686a30cbcf6b,0.889
https://www.akkio.com/beginners-guide-to-machine-learning,https://en.wikipedia.org/wiki/Machine_learning,0.82
https://medium.com/@amitvsolutions/machine-learning-101-the-complete-beginners-guide-to-machine-learning-686a30cbcf6b,https://en.wikipedia.org/wiki/Machine_learning,0.849
https://developers.google.com/search/docs/fundamentals/seo-starter-guide,https://en.wikipedia.org/wiki/Search_engine_optimization,0.824
https://www.coursera.org/articles/content-strategy,https://mailchimp.com/marketing-glossary/content-marketing/,0.852
https://emotive.io/blog/11-essential-digital-marketing-tips,https://www.forbes.com/advisor/business/what-is-digital-marketing/,0.843
https://emotive.io/blog/11-essential-digital-marketing-tips,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.915
https://emotive.io/blog/11-essential-digital-marketing-tips,https://en.wikipedia.org/wiki/Digital_marketing,0.839
https://emotive.io/blog/11-essential-digital-marketing-tips,https://simple.wikipedia.org/wiki/Digital_marketing,0.829
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.897
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://en.wikipedia.org/wiki/Digital_marketing,0.902
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://simple.wikipedia.org/wiki/Digital_marketing,0.901
https://blog.hubspot.com/marketing/what-is-digital-marketing,https://en.wikipedia.org/wiki/Content_marketing,0.828
https://blog.hubspot.com/marketing/what-is-digital-marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.875
https://blog.hubspot.com/marketing/what-is-digital-marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.814
https://mailchimp.com/marketing-glossary/content-marketing/,https://en.wikipedia.org/wiki/Content_marketing,0.881
https://en.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Content_marketing,0.811
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Machine_learning,0.849
https://en.wikipedia.org/wiki/Artificial_intelligence,https://simple.wikipedia.org/wiki/Artificial_intelligence,0.839
https://en.wikipedia.org/wiki/Digital_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.88
